SYMBOL	ENSEMBL	GENENAME	REFSEQ
Fgf20	ENSMUSG00000031603	fibroblast growth factor 20	NM_030610
Fgf16	ENSMUSG00000031230	fibroblast growth factor 16	NM_030614
Cpn1	ENSMUSG00000025196	"carboxypeptidase N, polypeptide 1"	NM_030703
Erap1	ENSMUSG00000021583	endoplasmic reticulum aminopeptidase 1	NM_030711
Cemip	ENSMUSG00000052353	"cell migration inducing protein, hyaluronan binding"	NM_030728
Ide	ENSMUSG00000056999	insulin degrading enzyme	NM_031156
F13b	ENSMUSG00000026368	"coagulation factor XIII, beta subunit"	NM_031164
Tnxb	ENSMUSG00000033327	tenascin XB	NM_031176
Tpsab1	ENSMUSG00000024173	tryptase alpha/beta 1	NM_031187
Ucn3	ENSMUSG00000044988	urocortin 3	NM_031250
Il23a	ENSMUSG00000025383	"interleukin 23, alpha subunit p19"	NM_031252
Fstl3	ENSMUSG00000020325	follistatin-like 3	NM_031380
Dpp7	ENSMUSG00000026958	dipeptidylpeptidase 7	NM_031843
Hamp	ENSMUSG00000050440	hepcidin antimicrobial peptide	NM_032541
Lcn8	ENSMUSG00000036449	lipocalin 8	NM_033145
Loxl2	ENSMUSG00000034205	lysyl oxidase-like 2	NM_033325
Cela1	ENSMUSG00000023031	"chymotrypsin-like elastase family, member 1"	NM_033612
Spock2	ENSMUSG00000058297	"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2"	NM_052994
Tac4	ENSMUSG00000020872	tachykinin 4	NM_053093
Il24	ENSMUSG00000026420	interleukin 24	NM_053095
Wnt16	ENSMUSG00000029671	"wingless-type MMTV integration site family, member 16"	NM_053116
Mepe	ENSMUSG00000053863	matrix extracellular phosphoglycoprotein with ASARM motif (bone)	NM_053172
Hrg	ENSMUSG00000022877	histidine-rich glycoprotein	NM_053176
Col4a6	ENSMUSG00000031273	"collagen, type IV, alpha 6"	NM_053185
Pi15	ENSMUSG00000067780	peptidase inhibitor 15	NM_053191
Prss1	ENSMUSG00000062751	"protease, serine 1 (trypsin 1)"	NM_053243
Pth2	ENSMUSG00000038300	parathyroid hormone 2	NM_053256
Scgb3a1	ENSMUSG00000064057	"secretoglobin, family 3A, member 1"	NM_054037
Prelp	ENSMUSG00000041577	proline arginine-rich end leucine-rich repeat	NM_054077
Calcb	ENSMUSG00000030666	"calcitonin-related polypeptide, beta"	NM_054084
Lpo	ENSMUSG00000009356	lactoperoxidase	NM_080420
Il25	ENSMUSG00000040770	interleukin 25	NM_080729
Mydgf	ENSMUSG00000019579	myeloid derived growth factor	NM_080837
Gpha2	ENSMUSG00000024784	glycoprotein hormone alpha 2	NM_130453
Nxph3	ENSMUSG00000046719	neurexophilin 3	NM_130858
Lad1	ENSMUSG00000041782	ladinin	NM_133664
Klk10	ENSMUSG00000030693	kallikrein related-peptidase 10	NM_133712
Metrn	ENSMUSG00000002274	"meteorin, glial cell differentiation regulator"	NM_133719
Prss22	ENSMUSG00000045027	"protease, serine 22"	NM_133731
Olfml3	ENSMUSG00000027848	olfactomedin-like 3	NM_133859
Smpdl3b	ENSMUSG00000028885	"sphingomyelin phosphodiesterase, acid-like 3B"	NM_133888
Spon2	ENSMUSG00000037379	"spondin 2, extracellular matrix protein"	NM_133903
Emilin1	ENSMUSG00000029163	elastin microfibril interfacer 1	NM_133918
Apof	ENSMUSG00000047631	apolipoprotein F	NM_133997
Enpp3	ENSMUSG00000019989	ectonucleotide pyrophosphatase/phosphodiesterase 3	NM_134005
Epdr1	ENSMUSG00000002808	ependymin related protein 1 (zebrafish)	NM_134065
Pla1a	ENSMUSG00000002847	phospholipase A1 member A	NM_134102
Fam3c	ENSMUSG00000029672	FAM3 metabolism regulating signaling molecule C	NM_138587
Rspo1	ENSMUSG00000028871	R-spondin 1	NM_138683
Wfdc12	ENSMUSG00000042845	WAP four-disulfide core domain 12	NM_138684
Wnt9a	ENSMUSG00000000126	"wingless-type MMTV integration site family, member 9A"	NM_139298
Otoa	ENSMUSG00000034990	otoancorin	NM_139310
Cpa5	ENSMUSG00000029788	carboxypeptidase A5	NM_144537
Lgi4	ENSMUSG00000036560	"leucine-rich repeat LGI family, member 4"	NM_144556
Metrnl	ENSMUSG00000039208	"meteorin, glial cell differentiation regulator-like"	NM_144797
Spata20	ENSMUSG00000020867	spermatogenesis associated 20	NM_144827
Vash2	ENSMUSG00000037568	vasohibin 2	NM_144879
Ucn2	ENSMUSG00000049699	urocortin 2	NM_145077
Afm	ENSMUSG00000029369	afamin	NM_145146
Angptl6	ENSMUSG00000038742	angiopoietin-like 6	NM_145154
Lgi3	ENSMUSG00000033595	"leucine-rich repeat LGI family, member 3"	NM_145219
Wfdc5	ENSMUSG00000040154	WAP four-disulfide core domain 5	NM_145369
Gpx6	ENSMUSG00000004341	glutathione peroxidase 6	NM_145451
Itgbl1	ENSMUSG00000032925	"integrin, beta-like 1"	NM_145467
Spon1	ENSMUSG00000038156	"spondin 1, (f-spondin) extracellular matrix protein"	NM_145584
Dkk4	ENSMUSG00000031535	dickkopf WNT signaling pathway inhibitor 4	NM_145592
Fgl1	ENSMUSG00000031594	fibrinogen-like protein 1	NM_145594
Il27	ENSMUSG00000044701	interleukin 27	NM_145636
Gdf10	ENSMUSG00000021943	growth differentiation factor 10	NM_145741
Xylt2	ENSMUSG00000020868	xylosyltransferase II	NM_145828
Il17c	ENSMUSG00000046108	interleukin 17C	NM_145834
Il17d	ENSMUSG00000050222	interleukin 17D	NM_145837
Il17f	ENSMUSG00000041872	interleukin 17F	NM_145856
Efemp1	ENSMUSG00000020467	epidermal growth factor-containing fibulin-like extracellular matrix protein 1	NM_146015
Gltpd2	ENSMUSG00000046811	glycolipid transfer protein domain containing 2	NM_146020
Ces4a	ENSMUSG00000060560	carboxylesterase 4A	NM_146213
Vwa1	ENSMUSG00000042116	von Willebrand factor A domain containing 1	NM_147776
Hpse	ENSMUSG00000035273	heparanase	NM_152803
Jchain	ENSMUSG00000067149	immunoglobulin joining chain	NM_152839
Leap2	ENSMUSG00000036216	liver-expressed antimicrobial peptide 2	NM_153069
Il1f10	ENSMUSG00000046845	"interleukin 1 family, member 10"	NM_153077
Cpz	ENSMUSG00000036596	carboxypeptidase Z	NM_153107
Otos	ENSMUSG00000044055	otospiralin	NM_153114
Spag11a	ENSMUSG00000079842	sperm associated antigen 11A	NM_153115
Mmrn2	ENSMUSG00000041445	multimerin 2	NM_153127
C1ql3	ENSMUSG00000049630	C1q-like 3	NM_153155
Il36g	ENSMUSG00000044103	interleukin 36G	NM_153511
Obp2a	ENSMUSG00000062061	odorant binding protein 2A	NM_153558
Pcsk9	ENSMUSG00000044254	proprotein convertase subtilisin/kexin type 9	NM_153565
Cxcl17	ENSMUSG00000060188	chemokine (C-X-C motif) ligand 17	NM_153576
Fam20a	ENSMUSG00000020614	"FAM20A, golgi associated secretory pathway pseudokinase"	NM_153782
Creg2	ENSMUSG00000050967	cellular repressor of E1A-stimulated genes 2	NM_170597
Adamts16	ENSMUSG00000049538	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16"	NM_172053
Gatd1	ENSMUSG00000051007	glutamine amidotransferase like class 1 domain containing 1	NM_172116
Akr1b10	ENSMUSG00000061758	"aldo-keto reductase family 1, member B10 (aldose reductase)"	NM_172398
Ndnf	ENSMUSG00000049001	neuron-derived neurotrophic factor	NM_172399
Sned1	ENSMUSG00000047793	"sushi, nidogen and EGF-like domains 1"	NM_172463
Itih5	ENSMUSG00000025780	"inter-alpha-trypsin inhibitor, heavy chain 5"	NM_172471
Nhlrc3	ENSMUSG00000042997	NHL repeat containing 3	NM_172501
Pla2g3	ENSMUSG00000034579	"phospholipase A2, group III"	NM_172791
Pcyox1l	ENSMUSG00000024579	prenylcysteine oxidase 1 like	NM_172832
Vwa2	ENSMUSG00000025082	von Willebrand factor A domain containing 2	NM_172840
Olfml2a	ENSMUSG00000046618	olfactomedin-like 2A	NM_172854
Olfml1	ENSMUSG00000051041	olfactomedin-like 1	NM_172907
Ovch2	ENSMUSG00000048236	ovochymase 2	NM_172908
Nxpe4	ENSMUSG00000044229	"neurexophilin and PC-esterase domain family, member 4"	NM_172921
Serpina5	ENSMUSG00000041550	"serine (or cysteine) peptidase inhibitor, clade A, member 5"	NM_172953
Ssc5d	ENSMUSG00000035279	"scavenger receptor cysteine rich family, 5 domains"	NM_173008
Rln3	ENSMUSG00000045232	relaxin 3	NM_173184
Fam180a	ENSMUSG00000047420	"family with sequence similarity 180, member A"	NM_173375
Erfe	ENSMUSG00000047443	erythroferrone	NM_173395
Colec10	ENSMUSG00000038591	collectin sub-family member 10	NM_173422
Arsj	ENSMUSG00000046561	arylsulfatase J	NM_173451
Pamr1	ENSMUSG00000027188	peptidase domain containing associated with muscle regeneration 1	NM_173749
Mamdc2	ENSMUSG00000033207	MAM domain containing 2	NM_174857
Klk15	ENSMUSG00000055193	kallikrein related-peptidase 15	NM_174865
Klk14	ENSMUSG00000044737	kallikrein related-peptidase 14	NM_174866
Grp	ENSMUSG00000024517	gastrin releasing peptide	NM_175012
Prss58	ENSMUSG00000051936	"protease, serine 58"	NM_175020
Dipk2b	ENSMUSG00000037358	divergent protein kinase domain 2B	NM_175228
Psapl1	ENSMUSG00000043430	prosaposin-like 1	NM_175249
Adamts9	ENSMUSG00000030022	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9"	NM_175314
Acp7	ENSMUSG00000037469	"acid phosphatase 7, tartrate resistant"	NM_175319
Nt5dc3	ENSMUSG00000054027	5'-nucleotidase domain containing 3	NM_175331
Prss27	ENSMUSG00000050762	"protease, serine 27"	NM_175440
Adamts12	ENSMUSG00000047497	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12"	NM_175501
Adamts19	ENSMUSG00000053441	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 19"	NM_175506
A2m	ENSMUSG00000030111	alpha-2-macroglobulin	NM_175628
Cbln4	ENSMUSG00000067578	cerebellin 4 precursor protein	NM_175631
Gphb5	ENSMUSG00000048982	glycoprotein hormone beta 5	NM_175644
Xylt1	ENSMUSG00000030657	xylosyltransferase 1	NM_175645
Glt1d1	ENSMUSG00000049971	glycosyltransferase 1 domain containing 1	NM_177005
Vwc2	ENSMUSG00000050830	von Willebrand factor C domain containing 2	NM_177033
Fstl4	ENSMUSG00000036264	follistatin-like 4	NM_177059
Lefty2	ENSMUSG00000066652	left-right determination factor 2	NM_177099
Lypd6	ENSMUSG00000050447	LY6/PLAUR domain containing 6	NM_177139
Tafa4	ENSMUSG00000046500	TAFA chemokine like family member 4	NM_177233
Ifna13	ENSMUSG00000063376	interferon alpha 13	NM_177347
Ifne	ENSMUSG00000045364	interferon epsilon	NM_177348
Gldn	ENSMUSG00000046167	gliomedin	NM_177350
Vash1	ENSMUSG00000021256	vasohibin 1	NM_177354
Tnfsf15	ENSMUSG00000050395	"tumor necrosis factor (ligand) superfamily, member 15"	NM_177371
Ifnl3	ENSMUSG00000060747	interferon lambda 3	NM_177396
Cndp1	ENSMUSG00000056162	carnosine dipeptidase 1 (metallopeptidase M20 family)	NM_177450
Dhrs11	ENSMUSG00000034449	dehydrogenase/reductase (SDR family) member 11	NM_177564
Wdr25	ENSMUSG00000040877	WD repeat domain 25	NM_177602
Cdnf	ENSMUSG00000039496	cerebral dopamine neurotrophic factor	NM_177647
Vwa3a	ENSMUSG00000030889	von Willebrand factor A domain containing 3A	NM_177697
Rgma	ENSMUSG00000070509	repulsive guidance molecule family member A	NM_177740
Bpifc	ENSMUSG00000050108	BPI fold containing family C	NM_177772
Mettl24	ENSMUSG00000045555	methyltransferase like 24	NM_177793
Tnn	ENSMUSG00000026725	tenascin N	NM_177839
Hapln4	ENSMUSG00000007594	hyaluronan and proteoglycan link protein 4	NM_177900
Hyal3	ENSMUSG00000036091	hyaluronoglucosaminidase 3	NM_178020
Galp	ENSMUSG00000034660	galanin-like peptide	NM_178028
Lcn10	ENSMUSG00000047356	lipocalin 10	NM_178036
Il22ra2	ENSMUSG00000039760	"interleukin 22 receptor, alpha 2"	NM_178258
Oaf	ENSMUSG00000032014	out at first homolog	NM_178644
Luzp2	ENSMUSG00000063297	leucine zipper protein 2	NM_178705
Prss35	ENSMUSG00000033491	"protease, serine 35"	NM_178738
Ccbe1	ENSMUSG00000046318	collagen and calcium binding EGF domains 1	NM_178793
C1rl	ENSMUSG00000038527	"complement component 1, r subcomponent-like"	NM_181344
Wfikkn2	ENSMUSG00000044177	"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2"	NM_181819
Fgb	ENSMUSG00000033831	fibrinogen beta chain	NM_181849
Tafa1	ENSMUSG00000059187	TAFA chemokine like family member 1	NM_182808
Adm2	ENSMUSG00000054136	adrenomedullin 2	NM_182928
Rnase9	ENSMUSG00000052382	"ribonuclease, RNase A family, 9 (non-active)"	NM_183032
Spink8	ENSMUSG00000050074	"serine peptidase inhibitor, Kazal type 8"	NM_183136
C1qtnf9	ENSMUSG00000071347	C1q and tumor necrosis factor related protein 9	NM_183175
Tafa3	ENSMUSG00000055865	TAFA chemokine like family member 3	NM_183224
Fam24a	ENSMUSG00000030859	"family with sequence similarity 24, member A"	NM_183272
Dhrs13	ENSMUSG00000020834	dehydrogenase/reductase (SDR family) member 13	NM_183286
Nxph4	ENSMUSG00000040258	neurexophilin 4	NM_183297
Pon2	ENSMUSG00000032667	paraoxonase 2	NM_183308
Qrfp	ENSMUSG00000043102	pyroglutamylated RFamide peptide	NM_183424
Ostn	ENSMUSG00000052276	osteocrin	NM_198112
Uts2b	ENSMUSG00000056423	urotensin 2B	NM_198166
Crhbp	ENSMUSG00000021680	corticotropin releasing hormone binding protein	NM_198408
Them6	ENSMUSG00000056665	thioesterase superfamily member 6	NM_198607
Vstm2l	ENSMUSG00000037843	V-set and transmembrane domain containing 2-like	NM_198627
Prb1	ENSMUSG00000067543	proline-rich protein BstNI subfamily 1	NM_198669
Ifnk	ENSMUSG00000042993	interferon kappa	NM_199157
Bpifb6	ENSMUSG00000068009	"BPI fold containing family B, member 6"	NM_199303
Col8a2	ENSMUSG00000056174	"collagen, type VIII, alpha 2"	NM_199473
Dand5	ENSMUSG00000053226	"DAN domain family member 5, BMP antagonist"	NM_201227
Cxcl3	ENSMUSG00000029379	chemokine (C-X-C motif) ligand 3	NM_203320
Eddm3b	ENSMUSG00000072575	epididymal protein 3B	NM_203508
Crh	ENSMUSG00000049796	corticotropin releasing hormone	NM_205769
Ifna16	ENSMUSG00000078355	interferon alpha 16	NM_206867
Ifna6	ENSMUSG00000101252	interferon alpha 6	NM_206871
Ifna14	ENSMUSG00000095896	interferon alpha 14	NM_206975
C1ql2	ENSMUSG00000036907	"complement component 1, q subcomponent-like 2"	NM_207233
Pglyrp3	ENSMUSG00000042244	peptidoglycan recognition protein 3	NM_207247
Scgb2b2	ENSMUSG00000036521	"secretoglobin, family 2B, member 2"	NM_207262
Brinp2	ENSMUSG00000004031	bone morphogenic protein/retinoic acid inducible neural-specific 2	NM_207583
Qsox1	ENSMUSG00000033684	quiescin Q6 sulfhydryl oxidase 1	NM_001024945
Serpina3f	ENSMUSG00000066363	"serine (or cysteine) peptidase inhibitor, clade A, member 3F"	NM_001033335
Cd44	ENSMUSG00000005087	CD44 antigen	NM_001039150
Ghr	ENSMUSG00000055737	growth hormone receptor	NM_001048147
Gpc6	ENSMUSG00000058571	glypican 6	NM_001079844
Lrp8	ENSMUSG00000028613	"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor"	NM_001080926
Ptprz1	ENSMUSG00000068748	"protein tyrosine phosphatase, receptor type Z, polypeptide 1"	NM_001081306
Ncam1	ENSMUSG00000039542	neural cell adhesion molecule 1	NM_001081445
Serpinh1	ENSMUSG00000070436	"serine (or cysteine) peptidase inhibitor, clade H, member 1"	NM_001111043
Csf1	ENSMUSG00000014599	colony stimulating factor 1 (macrophage)	NM_001113529
Nrcam	ENSMUSG00000020598	neuronal cell adhesion molecule	NM_001146031
Nrg2	ENSMUSG00000060275	neuregulin 2	NM_001167891
App	ENSMUSG00000022892	amyloid beta (A4) precursor protein	NM_001198823
Dag1	ENSMUSG00000039952	dystroglycan 1	NM_001276481
Txndc16	ENSMUSG00000021830	thioredoxin domain containing 16	NM_001310534
Msln	ENSMUSG00000063011	mesothelin	NM_001356286
B4galt1	ENSMUSG00000028413	"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1"	NM_001378519
Serpina3m	ENSMUSG00000079012	"serine (or cysteine) peptidase inhibitor, clade A, member 3M"	NM_001409934
Crim1	ENSMUSG00000024074	cysteine rich transmembrane BMP regulator 1 (chordin like)	NM_001414256
Btc	ENSMUSG00000082361	"betacellulin, epidermal growth factor family member"	NM_007568
Cd9	ENSMUSG00000030342	CD9 antigen	NM_007657
Gpc4	ENSMUSG00000031119	glypican 4	NM_008150
Gpi1	ENSMUSG00000036427	glucose-6-phosphate isomerase 1	NM_008155
Itm2b	ENSMUSG00000022108	integral membrane protein 2B	NM_008410
Serpina3c	ENSMUSG00000066361	"serine (or cysteine) peptidase inhibitor, clade A, member 3C"	NM_008458
Ppt1	ENSMUSG00000028657	palmitoyl-protein thioesterase 1	NM_008917
Cx3cl1	ENSMUSG00000031778	chemokine (C-X3-C motif) ligand 1	NM_009142
Serpina3n	ENSMUSG00000021091	"serine (or cysteine) peptidase inhibitor, clade A, member 3N"	NM_009252
Serpinb9	ENSMUSG00000045827	"serine (or cysteine) peptidase inhibitor, clade B, member 9"	NM_009256
Erbb3	ENSMUSG00000018166	erb-b2 receptor tyrosine kinase 3	NM_010153
Serpina3k	ENSMUSG00000058207	"serine (or cysteine) peptidase inhibitor, clade A, member 3K"	NM_011458
Tgfbr3	ENSMUSG00000029287	"transforming growth factor, beta receptor III"	NM_011578
Vcam1	ENSMUSG00000027962	vascular cell adhesion molecule 1	NM_011693
Cpe	ENSMUSG00000037852	carboxypeptidase E	NM_013494
Gpc1	ENSMUSG00000034220	glypican 1	NM_016696
Jam3	ENSMUSG00000031990	junction adhesion molecule 3	NM_023277
Bag4	ENSMUSG00000037316	BCL2-associated athanogene 4	NM_026121
Adamts4	ENSMUSG00000006403	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4"	NM_172845
Pxdn	ENSMUSG00000020674	peroxidasin	NM_177804
